sessionId,participantId,roundIndexInSession,studyLabel,testMode,frameIndex,timeSinceRoundStartSec,unscaledDeltaMs,mouseX,mouseY,mouseDeltaX,mouseDeltaY,virtualX,virtualY,ufoX,ufoY,ufoZ,towerX,towerZ,signedDistToTowerX,side,leftButtonDown,leftButtonPressed,rightButtonDown,fireKeyDown,stimulusMs,spikeFired,stallMs,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
19,P019,1,ft_jnd,FrameTimeStutter,0,0.00000,3.4721,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,1,0.00488,4.8808,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,2,0.00926,4.3820,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,3,0.01331,4.0459,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,4,0.01779,4.4758,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,5,0.02205,4.2661,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,6,0.02640,4.3519,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,7,0.02932,2.9147,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,8,0.03306,3.7439,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,9,0.03597,2.9056,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
