sessionId,blockIndex,blockOrdinal,latinRow,latinOrder,weaponRun,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,attemptInRound,roundEnded,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,spikeIndexInRound,swallowedPresses,stuttersMs,stutterAtSec,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_practiceRepeatStuttersMs,cfg_swSpikeDelayMinSec,cfg_swSpikeDelayMaxSec,cfg_swWindowSec,cfg_swRespikeMinSec,cfg_swRespikeMaxSec,cfg_swMaxEarlyPerRound,cfg_maxSpikesPerRound,cfg_roundTimeoutSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,practice,2026-09-21T11:53:05.8809203-04:00,1,1,1,0.4216,0.4216,450.000,0,0,0,450.02;450.00,-2.0060;-0.0062,450.009,0.077,450.000,450.018,0,-10.00,shot,1,0,0.0095,,,,,,6.9338,15.6502,-8.7165,7.4121,Right,127.500,71.914,4.000,0.0300,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,practice,2026-09-21T11:53:05.8809203-04:00,2,1,1,4.4068,3.9852,300.000,2,2,0,300.00;300.00,3.7451;4.0545,300.000,0.000,300.000,300.000,0,-20.00,shot,1,0,3.0802,,,,,,7.1206,14.5262,-7.4057,8.6736,Right,127.500,71.914,4.000,0.0300,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,practice,2026-09-21T11:53:05.8809203-04:00,3,1,1,11.0306,6.6238,200.000,5,5,0,200.00;200.00;200.00;200.00;200.00,7.2978;7.6491;8.6872;9.8094;10.5993,200.000,0.000,200.000,200.000,1,80.00,shot,1,0,7.0673,,,,,,-13.5058,-2.2975,-11.2083,9.8618,Left,127.500,71.914,4.000,0.0300,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,practice,2026-09-21T11:53:05.8809203-04:00,4,1,1,20.0213,8.9906,100.000,9,9,0,100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00,14.6769;15.2758;16.0213;16.5959;17.2199;17.7317;18.3331;18.9403;19.4928,100.000,0.000,100.000,100.000,1,180.00,shot,1,0,13.6916,,,,,,-15.1234,-1.3564,-13.7670,8.5445,Left,127.500,71.914,4.000,0.0300,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,practice,2026-09-21T11:53:05.8809203-04:00,5,1,1,27.5171,7.4959,50.000,7,7,0,50.00;50.00;50.00;50.00;50.00;50.00;50.00,23.0092;23.4574;24.2347;24.7853;26.1143;26.5869;27.2034,50.000,0.011,50.000,50.000,1,280.00,shot,1,0,22.6869,,,,,,2.4306,2.0119,0.4186,8.5808,Right,127.500,71.914,4.000,0.0300,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,main,2026-09-21T11:53:38.2190374-04:00,1,1,1,3.5872,3.5872,99.231,6,6,0,99.23;99.23;99.23;99.23;99.23;99.23,0.1375;0.6249;1.2825;1.9373;2.4737;3.0806,99.231,0.000,99.231,99.231,1,100.00,shot,1,1,0.0029,,,,,,-3.2429,0.0092,-3.2521,9.8971,Right,94.638,66.463,3.872,0.0296,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,main,2026-09-21T11:53:38.2190374-04:00,2,1,1,8.6996,5.1124,67.821,5,5,0,67.82;67.82;67.82;67.82;67.82,6.3698;7.0330;7.5378;7.9854;8.4645,67.821,0.013,67.821,67.821,1,200.00,shot,1,1,6.2496,,,,,,-4.4937,0.7248,-5.2185,9.5860,Right,66.774,55.801,3.850,0.0291,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,main,2026-09-21T11:53:38.2190374-04:00,3,1,1,13.9883,5.2887,42.692,5,5,0,42.69;42.69;42.69;42.69;42.69,11.7429;12.2954;12.7539;13.2901;13.6969,42.692,0.015,42.692,42.693,1,300.00,shot,1,1,11.3586,,,,,,7.8971,2.5162,5.3809,9.6225,Right,45.691,44.254,3.851,0.0286,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,main,2026-09-21T11:53:38.2190374-04:00,4,1,1,19.0847,5.0964,30.128,4,4,0,30.13;30.13;30.13;30.13,17.6839;17.9874;18.6354;18.8593,30.128,0.000,30.128,30.128,1,400.00,shot,1,1,16.6547,,,,,,-0.1681,-3.5215,3.3535,10.9205,Left,31.079,32.964,3.879,0.0281,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
3,3,1,3,3;4;2;1,1,500,FrameTimeStutter,5.000,laser,main,2026-09-21T11:53:38.2190374-04:00,5,1,1,22.1402,3.0555,17.564,0,0,0,,,0.000,0.000,0.000,0.000,0,390.00,shot,1,1,21.7448,,,,,,-2.9964,-18.5816,15.5852,10.9022,Left,44.673,37.862,3.902,0.0288,laser,500,450;300;200;100;50,450,1.5,3,0.35,1,2,1,10,20,100,-10,5,250,40,5,250,60,1,7,10,0,0.06,4,0.222,50,8,5
