sessionId,blockIndex,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,stuttersMs,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_amSpikeDelayMinSec,cfg_amSpikeDelayMaxSec,cfg_amWindowMinSec,cfg_amWindowMaxSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
34,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T11:59:11.1930512-04:00,1,7.5206,7.5206,450.000,1,450.01,450.011,0.048,450.011,450.011,1,100.00,detected,1,0,0.0166,6.2509,7.5252,1.2743,5.7774,2.6083,0.0512,-6.4767,6.5279,8.5454,Left,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T11:59:11.1930512-04:00,2,20.2659,12.7453,300.000,1,300.00,300.000,0.000,300.000,300.000,1,200.00,detected,1,0,11.2294,19.1964,20.2663,1.0699,7.6629,3.3091,1.1825,-4.0603,5.2428,8.0147,Left,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T11:59:11.1930512-04:00,3,31.3576,11.0917,200.000,1,200.00,200.000,0.000,200.000,200.000,1,300.00,detected,1,0,23.9721,30.2392,31.3580,1.1188,6.0641,3.2281,-16.1936,-19.1447,2.9511,5.9109,Left,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T11:59:11.1930512-04:00,4,38.4496,7.0921,100.000,1,100.00,100.000,0.000,100.000,100.000,1,400.00,detected,1,0,35.0744,37.6305,38.4501,0.8196,2.4491,3.4565,15.5383,-1.7458,17.2841,8.6351,Left,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T11:59:11.1930512-04:00,5,49.3858,10.9362,50.000,1,50.00,50.000,0.000,50.000,50.000,1,500.00,detected,1,0,42.1159,48.7327,49.3862,0.6535,6.5615,2.5447,-13.1935,-2.2479,-10.9456,7.4821,Left,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,main,2026-08-31T12:00:05.6023380-04:00,1,9.0032,9.0032,111.795,1,111.79,111.795,0.013,111.795,111.795,0,-10.00,timeout,0,1,0.0166,6.3451,,,6.2114,2.6512,,,7.9355,7.6273,Left,176.569,51.035,4.701,0.0311,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,main,2026-08-31T12:00:05.6023380-04:00,2,19.5414,10.5383,168.333,1,168.33,168.333,0.000,168.333,168.333,1,90.00,detected,1,1,12.7199,19.1217,19.5419,0.4202,6.2329,2.5944,14.4749,24.7099,-10.2349,8.9435,Right,168.101,51.986,4.633,0.0309,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,main,2026-08-31T12:00:05.6023380-04:00,3,30.0187,10.4773,168.333,1,168.33,168.333,0.000,168.333,168.333,1,190.00,detected,1,1,23.2474,28.0326,30.0191,1.9866,4.6108,3.1439,6.0544,10.4907,-4.4363,8.7785,Right,159.943,52.036,4.599,0.0308,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,main,2026-08-31T12:00:05.6023380-04:00,4,41.8240,11.8053,162.051,1,162.05,162.051,0.000,162.051,162.051,1,290.00,detected,1,1,33.7352,41.2381,41.8244,0.5863,7.3242,2.9554,-2.5244,-25.2541,22.7298,8.2273,Left,151.954,51.570,4.583,0.0307,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,main,2026-08-31T12:00:05.6023380-04:00,5,49.9167,8.0927,155.769,1,155.77,155.769,0.025,155.769,155.769,1,390.00,detected,1,1,45.5245,49.4628,49.9171,0.4543,3.7747,2.7951,6.8342,-7.8930,14.7271,8.3364,Left,144.282,50.717,4.580,0.0305,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,main,2026-08-31T12:00:05.6023380-04:00,6,58.4579,8.5412,149.487,1,149.49,149.487,0.000,149.487,149.487,1,490.00,detected,1,1,53.6059,57.4393,58.4584,1.0190,3.6676,3.4960,-8.9552,11.9063,-20.8615,9.0491,Right,137.002,49.632,4.585,0.0304,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
34,1,60,FrameTimeStutter,6.000,antimatter,main,2026-08-31T12:00:05.6023380-04:00,7,69.8776,11.4197,143.205,1,143.21,143.205,0.000,143.205,143.205,1,590.00,detected,1,1,62.1915,66.8413,69.8780,3.0368,4.5039,3.1420,-3.3177,1.4637,-4.7814,9.0479,Right,130.120,48.467,4.591,0.0304,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
