sessionId,blockIndex,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,attemptInRound,roundEnded,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,spikeIndexInRound,stuttersMs,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_swSpikeDelayMinSec,cfg_swSpikeDelayMaxSec,cfg_swWindowSec,cfg_swRespikeMinSec,cfg_swRespikeMaxSec,cfg_swMaxEarlyPerRound,cfg_maxSpikesPerRound,cfg_roundTimeoutSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
50,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T02:50:33.0249072-04:00,1,1,1,2.2887,2.2887,450.000,1,1,450.02,450.017,0.085,450.017,450.017,1,100.00,detected,1,0,0.0191,2.0193,2.2938,0.2745,1.5452,0.5000,11.1760,25.5130,-14.3371,8.4179,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T02:50:33.0249072-04:00,2,1,0,5.6679,3.3792,300.000,0,0,,0.000,0.000,0.000,0.000,0,90.00,early,1,0,5.0354,,5.6685,,,0.5000,-0.1573,17.6471,-17.8044,7.9301,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T02:50:33.0249072-04:00,2,2,1,11.0411,5.3731,300.000,2,2,300.00;300.00,300.000,0.000,300.000,300.000,1,190.00,detected,1,0,5.0354,10.7551,11.0418,0.2867,1.3494,0.5000,-21.6057,-3.8013,-17.8044,9.5756,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T02:50:33.0249072-04:00,3,1,1,16.9979,5.9568,200.000,1,1,200.00,200.000,0.016,200.000,200.000,1,290.00,detected,1,0,13.7449,16.6946,16.9983,0.3037,2.7487,0.5000,5.9575,22.0480,-16.0905,8.7711,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T02:50:33.0249072-04:00,4,1,1,23.1175,6.1196,100.000,1,1,100.00,100.000,0.000,100.000,100.000,1,390.00,detected,1,0,19.6980,22.7644,23.1180,0.3536,2.9584,0.5000,-14.0534,-20.0379,5.9845,8.5701,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T02:50:33.0249072-04:00,5,1,1,28.2901,5.1726,50.000,1,1,50.00,50.000,0.000,50.000,50.000,1,490.00,detected,1,0,25.8374,27.8375,28.2905,0.4530,1.9373,0.5000,10.6050,21.8200,-11.2149,8.0764,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T02:51:05.3111530-04:00,1,1,0,2.4147,2.4147,111.795,1,1,111.79,111.795,0.013,111.795,111.795,0,-10.00,late,1,1,0.0171,1.8119,2.4151,0.6032,1.6740,0.5000,7.8623,-5.2210,13.0833,10.1791,Left,175.785,51.802,4.698,0.0312,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T02:51:05.3111530-04:00,1,2,0,7.2726,4.8579,168.333,1,2,168.33,168.333,0.000,168.333,168.333,0,-20.00,late,1,1,0.0171,6.5701,7.2730,0.7029,2.1224,0.5000,-2.5378,-15.6211,13.0833,7.5239,Left,202.612,37.718,4.909,0.0316,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T02:51:05.3111530-04:00,1,3,1,11.5092,4.2366,199.744,1,3,199.74,199.744,0.000,199.744,199.744,1,80.00,detected,1,1,0.0171,11.1060,11.5097,0.4037,1.7905,0.5000,1.9192,-11.1641,13.0833,8.9860,Left,198.696,38.812,4.859,0.0315,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
50,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T02:51:05.3111530-04:00,2,1,0,16.1114,4.6022,199.744,0,0,,0.000,0.000,0.000,0.000,0,70.00,early,1,0,14.2282,,16.1119,,,0.5000,-4.4554,-10.4698,6.0145,9.0453,Left,198.696,38.812,4.859,0.0315,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
