sessionId,runId,blockIndex,blockOrdinal,latinRow,latinOrder,weaponRun,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,frameIndex,timeSinceStartSec,unscaledDeltaMs,mouseX,mouseY,mouseDeltaX,mouseDeltaY,ufoX,ufoY,towerX,side,leftButtonDown,leftButtonPressed,fireKeyDown,shotFired,shotHitX,stimulusMs,spikeFired,stutterMs,windowOpen,threshEstimateMs,sd,slopeEstimate,lapseEstimate,accuracy,score,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_practiceRepeatStuttersMs,cfg_swSpikeDelayMinSec,cfg_swSpikeDelayMaxSec,cfg_swWindowSec,cfg_swRespikeMinSec,cfg_swRespikeMaxSec,cfg_swMaxEarlyPerRound,cfg_maxSpikesPerRound,cfg_roundTimeoutSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,0,0.00000,2.2577,2558.70,1029.09,0.000,0.000,13.2056,7.5584,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,1,0.00951,9.5143,2556.90,1029.09,-1.000,0.000,13.1873,7.5584,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,2,0.01682,7.3072,2553.29,1029.09,-2.000,0.000,13.1507,7.5584,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,3,0.01949,2.6683,2553.29,1029.09,0.000,0.000,13.1507,7.5584,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,4,0.02241,2.9168,2538.87,1027.28,-8.000,-1.000,13.0044,7.5401,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,5,0.02491,2.5007,2538.87,1027.28,0.000,0.000,13.0044,7.5401,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,6,0.02733,2.4206,2538.87,1027.28,0.000,0.000,13.0044,7.5401,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,7,0.03027,2.9384,2510.04,1023.68,-16.000,-2.000,12.7119,7.5035,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,8,0.03282,2.5585,2510.04,1023.68,0.000,0.000,12.7119,7.5035,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,9,0.03519,2.3608,2510.04,1023.68,0.000,0.000,12.7119,7.5035,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,10,0.03800,2.8158,2461.38,1020.08,-27.000,-2.000,12.2182,7.4670,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,11,0.04061,2.6055,2461.38,1020.08,0.000,0.000,12.2182,7.4670,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,12,0.04304,2.4301,2461.38,1020.08,0.000,0.000,12.2182,7.4670,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,13,0.04588,2.8458,2392.89,1016.47,-38.000,-2.000,11.5233,7.4304,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,14,0.04907,3.1893,2392.89,1016.47,0.000,0.000,11.5233,7.4304,18.1983,Left,0,0,0,0,0.0000,450.000,0,0.000,0,125.500,73.088,4.000,0.0300,0.0000,0.00,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
