sessionId,runId,blockIndex,blockOrdinal,latinRow,latinOrder,weaponRun,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,attemptInRound,roundEnded,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,spikeIndexInRound,swallowedPresses,stuttersMs,stutterAtSec,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,lastSpikeAtSec,sinceLastSpikeSec,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_practiceRepeatStuttersMs,cfg_swSpikeDelayMinSec,cfg_swSpikeDelayMaxSec,cfg_swWindowSec,cfg_swRespikeMinSec,cfg_swRespikeMaxSec,cfg_swMaxEarlyPerRound,cfg_maxSpikesPerRound,cfg_roundTimeoutSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,1,0,3.8142,3.8142,450.000,1,1,0,450.02,3.3586,450.017,0.069,450.017,450.017,3.3586,0.4595,0,-10.00,late,1,0,0.0098,3.3586,3.8181,0.4595,2.8961,0.4000,-1.9712,-20.1695,18.1983,8.8739,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,2,0,6.6641,2.8499,450.000,0,1,0,,,0.000,0.000,0.000,0.000,3.3586,3.3060,0,-20.00,early,1,0,0.0098,3.3586,6.6646,,2.8961,0.4000,-10.0716,-28.2699,18.1983,8.7091,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,3,0,9.5024,2.8383,450.000,1,2,0,450.00,8.9804,450.000,0.081,450.000,450.000,8.9804,0.5224,0,-30.00,late,1,0,0.0098,8.9804,9.5027,0.5224,1.8646,0.4000,9.6338,-8.5645,18.1983,9.9284,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,1,4,1,12.6199,3.1175,450.000,1,3,0,450.00,12.2175,450.000,0.000,450.000,450.000,12.2175,,0,-40.00,timeout,0,0,0.0098,12.2175,,,1.2564,0.4000,,,18.1983,8.9130,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,2,1,1,18.7108,6.0909,300.000,1,1,0,300.00,18.5386,300.000,0.000,300.000,300.000,18.5386,0.1725,1,60.00,detected,1,0,15.2798,18.5386,18.7111,0.1725,2.9582,0.4000,4.8662,-10.2498,15.1160,9.6254,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,3,1,1,24.4953,5.7845,200.000,1,1,0,200.00,24.2714,200.000,0.000,200.000,200.000,24.2714,0.2243,1,160.00,detected,1,0,21.3744,24.2714,24.4956,0.2243,2.6936,0.4000,0.1168,16.6729,-16.5562,9.6795,Right,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,4,1,0,34.5356,10.0403,100.000,2,2,0,100.00;100.00,29.7188;33.0840,100.000,0.025,100.000,100.000,33.0840,1.4520,0,150.00,late,1,0,27.1559,33.0840,34.5360,1.4520,2.8616,0.4000,-6.3334,-4.6660,-1.6673,10.2994,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,4,2,1,38.9341,4.3984,100.000,1,3,0,100.00,38.5336,100.000,0.000,100.000,100.000,38.5336,,0,140.00,timeout,0,0,27.1559,38.5336,,,2.8875,0.4000,,,-1.6673,9.9754,Right,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,5,1,0,42.5344,3.6003,50.000,0,0,0,,,0.000,0.000,0.000,0.000,38.5336,4.0011,0,130.00,early,1,0,41.8184,,42.5347,,,0.4000,-6.2563,-18.8751,12.6188,8.6405,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
8,WqLX,4,1,4,4;1;3;2,1,500,FrameTimeStutter,5.500,shockwave,practice,2026-09-22T14:54:51.9253626-04:00,5,2,1,51.1580,8.6236,50.000,3,3,0,50.00;50.00;50.00,44.9046;47.4171;50.7562,50.000,0.014,50.000,50.000,50.7562,,0,120.00,timeout,0,0,41.8184,50.7562,,,2.8870,0.4000,,,12.6188,9.5747,Left,125.500,73.088,4.000,0.0300,shockwave,500,450;300;200;100;50,450,1,3,0.4,1.5,3,1,5,0,100,-10,1,250,40,1,250,60,1,7,10,0,0.06,4,0.360,50,8,6
