sessionId,participantId,roundIndexInSession,studyLabel,testMode,shotIndexInRound,shotIndexInSession,timeSinceRoundStartSec,timeSinceLastShotSec,isHit,shotScore,totalScore,missDistX,absMissDistX,missDistEuclid,towerX,towerY,towerZ,hitX,hitY,hitZ,ufoX,ufoY,ufoZ,side,stimulusMs,jndEstimateMs,posteriorThresholdSD,slopeEstimate,staircaseTrial,staircaseFinished,spikesSinceLastShot,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
1,P001,1,ft_jnd,FrameTimeStutter,1,1,1.0158,1.0158,0,-10.00,-10.00,20.2742,20.2742,20.2742,-18.3003,-6.7500,0.0000,1.9739,-5.6027,0.0000,1.9739,10.1946,0.0000,Right,143.205,170.063,51.954,3.646,1,0,2,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,2,2,4.0081,2.9923,0,-10.00,-20.00,-15.8705,15.8705,15.8705,8.9426,-6.7500,0.0000,-6.9279,-5.0497,0.0000,-6.9279,10.7476,0.0000,Left,174.615,196.070,38.551,3.808,2,0,1,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,3,3,6.8565,2.8484,0,-10.00,-30.00,-9.6677,9.6677,9.6677,7.3164,-6.7500,0.0000,-2.3513,-5.8546,0.0000,-2.3513,9.9427,0.0000,Left,187.180,211.603,29.778,3.978,3,0,2,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,4,4,9.8578,3.0013,0,-10.00,-40.00,21.3000,21.3000,21.3000,-15.4788,-6.7500,0.0000,5.8212,-5.6032,0.0000,5.8212,10.1940,0.0000,Right,187.180,220.742,24.086,4.155,4,0,1,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,5,5,16.0456,6.1878,0,-10.00,-50.00,-3.0280,3.0280,3.0280,1.2047,-6.7500,0.0000,-1.8233,-6.6849,0.0000,-1.8233,9.1123,0.0000,Left,174.615,226.139,20.402,4.335,5,0,3,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,6,6,20.9419,4.8963,0,-10.00,-60.00,-20.2694,20.2694,20.2694,9.0918,-6.7500,0.0000,-11.1776,-13.6967,0.0000,-11.1776,2.1006,0.0000,Left,212.308,229.067,18.204,4.507,6,0,2,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,7,7,23.9493,3.0073,0,-10.00,-70.00,3.5882,3.5882,3.5882,-17.4847,-6.7500,0.0000,-13.8965,2.0717,0.0000,-13.8965,17.8690,0.0000,Right,168.333,233.276,15.435,4.601,7,0,3,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,8,8,29.0693,5.1201,0,-10.00,-80.00,4.4095,4.4095,4.4095,-4.7615,-6.7500,0.0000,-0.3519,-8.8577,0.0000,-0.3519,6.9395,0.0000,Right,174.615,234.576,14.346,4.732,8,0,4,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,9,9,33.1340,4.0646,0,-10.00,-90.00,29.3238,29.3238,29.3238,-16.9428,-6.7500,0.0000,12.3810,-7.8955,0.0000,12.3810,7.9018,0.0000,Right,250.000,235.785,13.386,4.844,9,0,2,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
1,P001,1,ft_jnd,FrameTimeStutter,10,10,37.9590,4.8251,1,100.00,10.00,-0.7065,0.7065,0.7065,5.1369,-6.7500,0.0000,4.4304,-6.9103,0.0000,4.4304,8.8870,0.0000,Left,250.000,234.374,13.936,4.869,10,0,3,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
